ISN;Nom;Année;Titre;support
184;KHALED Khouloud;2019;Etude epidemiologique de l'infestation par des larves cysticerus tenuicollis chez les petits ruminants dans la region de nabeul (Menzel Temime);PDF
185;OMRI Wafa;2019;Contribution à l'étude lésionnelle des motifs de saisie des poumons d'equides a l'abattoir de Tunise;PDF
186;HADJ SALAH Fehmi;2019;Contribution à l'étude lésionnelle de la sarcosporidiose diaphragmatique du dromadaire;Non
187;JAZIRI Nadia;2020;Etude de la résistance aux beta-lactamines des Escherichia coli isolés de poulets de chair sains dans des élevages de la région de Sfax : Emergence de souches productrices de BLSE/AmpC;PDF
188;BOURKHIS Abdallah;2019;Surveillance sanitaire d'un élévage du loup marin Dicentrarchus labrax en cages offshore;Non
189;DABBABI Souhir ;2019;Contribution à l'étude du syndrome malabsorption chez le poulet de chair dans huit élevages au Nord-Est de la Tunisie;PDF
190;BRAHMI Jassem;2019;Contribution à la mise en place de l'agrement zoosanitaire dans un élévage de loup larin et de daurade royale en cages flottantes;PDF
191;MEJDOUBA Marwa;2019;Contribution à l'étude bibliographique de la maladie d'aueszky et gestion du risque de propagation du virus chez le sanglier en Tunisie;PDF
192;TRIFI Amani ;2019;Contribution à l'étude morphometrique de la moule mediterraneenne Mytilus galloprovincialis et son infestation par Mateilia sp, dans la lagune de Bizerte;PDF
193;RAFRAFI Hamdi;2020;Contribution à l'étude anatomique de la vascularisation arterielle de la tete et du cou de l'ORYX;PDF
194;HAMDI Manel;2020;Etude moléculaire des gènes impliqués dans l'antibiorésistance aux beta-lactamine et aux antibiotique critiques sur des souches;PDF
195;BOUALLEGUE Oussema;2018;Application d'un protocole d'insémination a temps fixe OvSynch (GPG)dans un élevage bovin laitier au nord de la Tunisie;PDF
196;REZGUI Hanen;2019;Contribution a l'etude de la monte en élevage pur sang arabe dans les haras nationaux rn Tunisie;PDF
197;BEN HADJ TAIEB Nada;2019;Etude de la prévalence et de l'antibiorésistance des souches d'Escherichia coli isolées de la muqueuse rectales de chats apparemment sains et recherche de souches productrices de beta-lactamases à spectre étendu;PDF
198;BALTAGI Mohamed;2019;Etude de l'antibiorésistance de souches d'Escherichia coli isolées de poulets de chair malades et détection de souches productrices de beta--lactamases à spectre étendu;PDF
199;ARAB Mohamed;2019;Depistage de l'infection par Theileria annulata par étalement sanguin et PCR sur un echantillon d'élevage bovin enquete dans la region de amdoun en 1993-2006;PDF
200;BEL HADJ Marwa;2019;Etat actuel des connaissances sur la consolidation osseuse chez les carnivores domestiques;PDF
201;MELLITI Eya;2018;Contribution à létude de l'anesthesie generale speciale chez les carnivores domestiques;PDF
202;YAMOUN Asma;2018;Les nephropathies chez la poule (Gallus gallus) : Etude lesionnelle retrospective sur 5ans (2012-2016);Non
203;ZITOUNI Sahar;2018;Etude lesionnelle des fois d'equides saisis a l'abattoir de Tunis;PDF
204;AGUIR Sana ;2017;Incorporation d'un additif à base d'un extrait de la racine de réglisse dans l'eau de boisson des poulets de chair;PDF
