Gouvernorats,Annee,superficie_emblavees_1000_ha
"Ariana,2006 ,""4,22 """
"Manouba,2006 ,""22,62 """
"Ben Arous,2006 ,""4,95 """
"Nabeul,2006 ,""17,5 """
"Bizerte,2006 ,""70,52 """
"Béja,2006 ,""94,83 """
"Jendouba,2006 ,""61,9 """
"Kef,2006 ,""110,78 """
"Siliana,2006 ,""101,39 """
"Zaghouan,2006 ,""36,88 """
Sousse,2006 ,22 
"Monastir,2006 ,""4,84 """
"Mahdia,2006 ,""17,2 """
"Sfax,2006 ,""14,86 """
Kairouan,2006 ,81 
"Kasserine,2006 ,""83,6 """
"Sidi Bouzid,2006 ,""58,02 """
"Gafsa,2006 ,""23,99 """
"Gabès,2006 ,""15,3 """
"Medenine,2006 ,""1,75 """
Tozeur,2006 , 
Kébili,2006 ,7 
"Tataouine,2006 ,""0,81 """
"Tunis,2007 ,""0,7 """
"Ariana,2007 ,""3,7 """
"Manouba,2007 ,""23,2 """
Ben Arous,2007 ,5 
Nabeul,2007 ,17 
"Bizerte,2007 ,""70,8 """
"Béja,2007 ,""92,74 """
"Jendouba,2007 ,""62,29 """
"Kef,2007 ,""107,76 """
"Siliana,2007 ,""84,9 """
"Zaghouan,2007 ,""35,77 """
Sousse,2007 ,22 
"Monastir,2007 ,""3,43 """
"Mahdia,2007 ,""15,45 """
"Sfax,2007 ,""18,03 """
"Kairouan,2007 ,""59,8 """
"Kasserine,2007 ,""55,2 """
"Sidi Bouzid,2007 ,""24,89 """
"Gafsa,2007 ,""15,22 """
"Gabès,2007 ,""12,12 """
"Medenine,2007 ,""1,24 """
Tozeur,2007 , 
Kébili,2007 ,
"Tataouine,2007 ,""0,5 """
"Tunis,2008 ,""0,64 """
"Ariana,2008 ,""2,19 """
Manouba,2008 ,18 
"Ben Arous,2008 ,""5,4 """
Nabeul,2008 ,17 
"Bizerte,2008 ,""70,13 """
"Béja,2008 ,""90,84 """
"Jendouba,2008 ,""64,82 """
"Kef,2008 ,""86,5 """
"Siliana,2008 ,""80,8 """
"Zaghouan,2008 ,""30,66 """
"Sousse,2008 ,""17,44 """
"Monastir,2008 ,""1,83 """
"Mahdia,2008 ,""14,07 """
"Sfax,2008 ,""5,82 """
"Kairouan,2008 ,""45,36 """
"Kasserine,2008 ,""56,62 """
"Sidi Bouzid,2008 ,""24,59 """
"Gafsa,2008 ,""4,25 """
Gabès,2008 ,4 
"Medenine,2008 ,""6,11 """
Tozeur,2008 ,
Kébili,2008 ,2 
Tataouine,2008 ,
"Tunis,2009 ,""0,74 """
"Ariana,2009 ,""3,5 """
"Manouba,2009 ,""18,26 """
"Ben Arous,2009 ,""4,83 """
"Nabeul,2009 ,""19,29 """
"Bizerte,2009 ,""74,78 """
"Béja,2009 ,""97,97 """
"Jendouba,2009 ,""66,4 """
"Kef,2009 ,""71,8 """
"Siliana,2009 ,""87,1 """
"Zaghouan,2009 ,""29,89 """
"Sousse,2009 ,""14,75 """
"Monastir,2009 ,""2,18 """
"Mahdia,2009 ,""15,23 """
"Sfax,2009 ,""14,64 """
"Kairouan,2009 ,""41,46 """
"Kasserine,2009 ,""66,44 """
"Sidi Bouzid,2009 ,""19,22 """
"Gafsa,2009 ,""23,7 """
"Gabès,2009 ,""5,1 """
"Medenine,2009 ,""1,77 """
"Tozeur,2009 ,""0,1 """
"Kébili,2009 ,""0,1 """
"Tataouine,2009 ,""0,11 """
"Tunis,2010 ,""0,5 """
"Ariana,2010 ,""3,22 """
Manouba,2010 ,18 
"Ben Arous,2010 ,""4,7 """
"Nabeul,2010 ,""18,7 """
"Bizerte,2010 ,""67,93 """
Béja,2010 ,101 
"Jendouba,2010 ,""65,76 """
"Kef,2010 ,""72,17 """
"Siliana,2010 ,""89,64 """
"Zaghouan,2010 ,""27,54 """
"Sousse,2010 ,""11,75 """
"Monastir,2010 ,""0,87 """
"Mahdia,2010 ,""6,8 """
"Sfax,2010 ,""0,53 """
"Kairouan,2010 ,""25,98 """
"Kasserine,2010 ,""50,78 """
"Sidi Bouzid,2010 ,""9,93 """
"Gafsa,2010 ,""19,4 """
Gabès,2010 ,
"Medenine,2010 ,""0,05 """
Tozeur,2010 ,
Kébili,2010 ,1 
Tataouine,2010 ,
"Tunis,2011 ,""0,42 """
"Ariana,2011 ,""3,8 """
"Manouba,2011 ,""17,6 """
"Ben Arous,2011 ,""4,14 """
Nabeul,2011 ,18 
"Bizerte,2011 ,""59,93 """
"Béja,2011 ,""99,13 """
"Jendouba,2011 ,""67,66 """
"Kef,2011 ,""71,25 """
"Siliana,2011 ,""88,4 """
"Zaghouan,2011 ,""22,92 """
"Sousse,2011 ,""19,45 """
"Monastir,2011 ,""1,05 """
"Mahdia,2011 ,""11,4 """
"Sfax,2011 ,""3,55 """
"Kairouan,2011 ,""47,57 """
"Kasserine,2011 ,""68,35 """
"Sidi Bouzid,2011 ,""37,6 """
"Gafsa,2011 ,""20,58 """
"Gabès,2011 ,""3,39 """
"Medenine,2011 ,""2,76 """
Tozeur,2011 ,
Kébili,2011 ,8 
"Tataouine,2011 ,""1,04 """
"Tunis,2012 ,""0,62 """
"Ariana,2012 ,""4,07 """
"Manouba,2012 ,""17,2 """
"Ben Arous,2012 ,""4,16 """
"Nabeul,2012 ,""18,5 """
"Bizerte,2012 ,""68,45 """
"Béja,2012 ,""96,89 """
"Jendouba,2012 ,""62,9 """
"Kef,2012 ,""80,21 """
Siliana,2012 ,84 
"Zaghouan,2012 ,""22,69 """
"Sousse,2012 ,""23,15 """
"Monastir,2012 ,""2,8 """
"Mahdia,2012 ,""8,35 """
"Sfax,2012 ,""4,55 """
"Kairouan,2012 ,""56,43 """
Kasserine,2012 ,58 
"Sidi Bouzid,2012 ,""18,61 """
"Gafsa,2012 ,""19,28 """
"Gabès,2012 ,""1,45 """
"Medenine,2012 ,""3,73 """
Tozeur,2012 ,
Kébili,2012 ,7 
"Tataouine,2012 ,""0,96 """
"Tunis,2013 ,""0,64 """
"Ariana,2013 ,""2,98 """
"Manouba,2013 ,""18,4 """
"Ben Arous,2013 ,""5,55 """
Nabeul,2013 ,18 
"Bizerte,2013 ,""73,64 """
"Béja,2013 ,""94,48 """
"Jendouba,2013 ,""63,8 """
"Kef,2013 ,""61,75 """
"Siliana,2013 ,""83,51 """
"Zaghouan,2013 ,""21,45 """
"Sousse,2013 ,""13,82 """
"Monastir,2013 ,""0,05 """
"Mahdia,2013 ,""0,35 """
"Sfax,2013 ,""0,39 """
