date,type,qte,pgmin,pgmax,pdmin,pdmax
2022-04-22,bœuf sans os,,,,27500,28000
2022-04-22,ovin reforme,,,,16000,20000
2022-04-21,agneau,,,,25000,29000
2022-04-21,escaloppe,,,,11425,15990
2022-04-21,poulet (pac),,,,6790,7425
2022-04-21,bœuf avec os,,,,17000,18000
2022-04-21,bœuf sans os,,,,26000,28000
2022-04-21,ovin reforme,,,,16000,20000
2022-04-20,agneau,,,,25000,29000
2022-04-20,escaloppe,,,,11425,15990
2022-04-20,poulet (pac),,,,6790,7425
2022-04-20,bœuf avec os,,,,17000,18000
2022-04-20,bœuf sans os,,,,26000,28000
2022-04-20,ovin reforme,,,,16000,20000
2022-04-19,agneau,,,,25000,30000
2022-04-19,escaloppe,,,,11425,15990
2022-04-19,poulet (pac),,,,6790,7425
2022-04-19,bœuf avec os,,,,17000,18000
2022-04-19,bœuf sans os,,,,27000,28000
2022-04-19,ovin reforme,,,,16000,20000
2022-04-18,agneau,,,,25000,29000
2022-04-18,escaloppe,,,,11730,15990
2022-04-18,poulet (pac),,,,6900,7425
2022-04-18,bœuf avec os,,,,16000,18000
2022-04-18,bœuf sans os,,,,27000,28000
2022-04-18,ovin reforme,,,,16000,20000
2022-04-15,agneau,,,,25000,29000
2022-04-15,escaloppe,,,,11730,15990
2022-04-15,poulet (pac),,,,6900,7425
2022-04-15,bœuf avec os,,,,16000,18000
2022-04-15,bœuf sans os,,,,27000,28000
2022-04-15,ovin reforme,,,,16000,20000
2022-04-14,agneau,,,,25000,29000
2022-04-14,escaloppe,,,,11745,15990
2022-04-14,poulet (pac),,,,7200,7425
2022-04-14,bœuf avec os,,,,16000,18000
2022-04-14,bœuf sans os,,,,27000,28000
2022-04-14,ovin reforme,,,,16000,20000
2022-04-13,agneau,,,,25000,30000
2022-04-13,escaloppe,,,,11745,15990
2022-04-13,poulet (pac),,,,7200,7820
2022-04-13,bœuf avec os,,,,16000,18000
2022-04-13,bœuf sans os,,,,27000,28000
2022-04-13,ovin reforme,,,,16000,20000
2022-04-12,agneau,,,,27000,30000
2022-04-12,escaloppe,,,,12000,15990
2022-04-12,poulet (pac),,,,7425,7820
2022-04-12,bœuf avec os,,,,16000,18000
2022-04-12,bœuf sans os,,,,27000,28000
2022-04-12,ovin reforme,,,,17000,20000
2022-04-11,agneau,,,,27000,29000
2022-04-11,escaloppe,,,,12000,15990
2022-04-11,poulet (pac),,,,7425,7820
2022-04-11,bœuf avec os,,,,17000,18000
2022-04-11,bœuf sans os,,,,26000,28000
2022-04-11,ovin reforme,,,,16000,20000
2022-04-08,agneau,,,,27000,29000
2022-04-08,escaloppe,,,,12000,15990
2022-04-08,poulet (pac),,,,7425,7820
2022-04-08,bœuf avec os,,,,17000,18000
2022-04-08,bœuf sans os,,,,26000,28000
