Date,Gouvernorat,Production;
2014,Béja,2528.46;
2015,Sfax,0.44;
2015,Tatouine,1.66;
2015,Medenine,2.71;
2015,Monastir,5.6;
2015,Tunis,13.75;
2015,Sousse,14.77;
2015,Mahdia,29.06;
2015,Ben Arous,48.04;
2015,Gafsa,52.8;
2015,Kasserine,73.87;
2015,Ariana,82.7;
2015,Sidi Bouzid,165.58;
2015,Zaghouan,202.71;
2015,Manouba,260.82;
2015,Nabeul,395.6;
2015,Kairouan,467.01;
2015,Siliana,554.48;
2015,Kef,558.29;
2015,Jendouba,1304.58;
2015,Bizerte,1457.03;
2015,Béja,1884.71;
2016,Monastir,0.0;
2016,Mahdia,0.0;
2016,Sfax,0.0;
2016,Tozeur,0.0;
2016,Kébili,0.0;
2016,Tatouine,0.0;
2016,Gabès,0.075;
2016,Medenine,1.65;
2016,Sousse,7.71;
2016,Tunis,8.4;
2016,Gafsa,9.75;
2016,Kasserine,36.01;
2016,Ben Arous,41.3;
2016,Ariana,70.7;
2016,Zaghouan,84.755;
2016,Sidi Bouzid,169.53;
2016,Manouba,247.56;
2016,Nabeul,349.49;
2016,Kairouan,460.64;
2016,Kef,536.94;
2016,Siliana,858.35;
2016,Jendouba,1455.68;
2016,Bizerte,1862.27;
2016,Béja,1919.0;
2017,Monastir,8.19;
2017,Mahdia,134.195;
2017,Sfax,5.405;
2017,Tozeur,0.0;
2017,Kébili,3.0;
2017,Tatouine,0.0;
2017,Gabès,31.15;
2017,Medenine,1.2;
2017,Sousse,278.198;
2017,Tunis,17.18;
2017,Gafsa,56.25;
2017,Kasserine,224.55;
2017,Ben Arous,73.25;
2017,Ariana,114.94;
2017,Zaghouan,365.48;
2017,Sidi Bouzid,240.1;
2017,Manouba,313.46;
2017,Nabeul,401.7;
2017,Kairouan,623.93;
2017,Kef,264.93;
2017,Siliana,582.23;
2017,Jendouba,1762.19;
2017,Bizerte,1724.45;
2017,Béja,2282.72;
2018,Monastir,0.0;
2018,Mahdia,2.4;
2018,Sfax,0.395;
2018,Tozeur,0.0;
2018,Kébili,3.0;
2018,Tatouine,2.2;
2018,Gabès,30.1;
2018,Medenine,23.97;
2018,Sousse,30.875;
2018,Tunis,12.18;
2018,Gafsa,42.06;
2018,Kasserine,50.62;
2018,Ben Arous,22.17;
2018,Ariana,134.19;
2018,Zaghouan,117.94;
2018,Sidi Bouzid,148;
2018,Manouba,333.12;
2018,Nabeul,424.54;
2018,Kairouan,579.66;
2018,Kef,408.79;
2018,Siliana,480.78;
2018,Jendouba,2002.59;
2018,Bizerte,2093.76;
2018,Béja,2680.73;
