date,parameter,value,unite
2025-05-17 03:00:00,Température,9.5,°C
2025-05-17 04:00:00,Température,10.5,°C
2025-05-17 05:00:00,Température,10.6,°C
2025-05-17 06:00:00,Température,10.7,°C
2025-05-17 07:00:00,Température,13.6,°C
2025-05-17 08:00:00,Température,15.6,°C
2025-05-17 09:00:00,Température,17.4,°C
2025-05-17 10:00:00,Température,18.5,°C
2025-05-17 11:00:00,Température,19.8,°C
2025-05-17 12:00:00,Température,20.9,°C
2025-05-17 13:00:00,Température,21.5,°C
2025-05-17 14:00:00,Température,22.5,°C
2025-05-17 15:00:00,Température,22.7,°C
2025-05-16 01:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 02:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 03:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 04:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 05:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 06:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 07:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 08:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 09:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 10:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 11:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 12:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 13:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 14:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 15:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 16:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 17:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 18:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 19:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 20:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 21:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 22:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 23:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 00:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 01:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 02:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 03:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 04:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 05:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 06:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 07:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 08:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 09:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 10:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 11:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 12:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 13:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 14:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-17 15:00:00,Évapotranspiration Horaire,0.0,mm/h
2025-05-16 01:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 02:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 03:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 04:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 05:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 06:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 07:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 08:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 09:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 10:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 11:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 12:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 13:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 14:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 15:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 16:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 17:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 18:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 19:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 20:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 21:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 22:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-16 23:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-17 00:00:00,Évapotranspiration journalière,2.97,mm/j
2025-05-17 01:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 02:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 03:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 04:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 05:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 06:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 07:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 08:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 09:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 10:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 11:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 12:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 13:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 14:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-17 15:00:00,Évapotranspiration journalière,2.81,mm/j
2025-05-16 01:00:00,Intensité de Pluie,0.0,mm/h
2025-05-17 00:00:00,Intensité de Pluie,0.0,mm/h
2025-05-16 01:00:00,Pluie quotidienne,0.0,mm
2025-05-17 00:00:00,Pluie quotidienne,0.0,mm
2025-05-16 01:00:00,Pluie Totale,811.6,mm
2025-05-17 00:00:00,Pluie Totale,811.6,mm
2025-05-16 01:00:00,Contenu volumétrique d'eau,295.0,%
2025-05-16 02:00:00,Contenu volumétrique d'eau,258.3,%
2025-05-16 03:00:00,Contenu volumétrique d'eau,327.9,%
2025-05-16 04:00:00,Contenu volumétrique d'eau,48.0,%
2025-05-16 05:00:00,Contenu volumétrique d'eau,287.6,%
2025-05-16 06:00:00,Contenu volumétrique d'eau,290.8,%
2025-05-16 07:00:00,Contenu volumétrique d'eau,312.4,%
2025-05-16 08:00:00,Contenu volumétrique d'eau,308.8,%
2025-05-16 11:00:00,Contenu volumétrique d'eau,297.1,%
2025-05-16 13:00:00,Contenu volumétrique d'eau,299.4,%
