ANNEE_DOA,DELEGATION,GOUV,INV,PRIMES
2016,منزل بوزلفة,نابل,1417308,210804
2010,جرزونة,بنزرت,1064831,295805
2011,نفطة,توزر,358179,64029
2010,أولاد الشامخ,المهدية,137000,36566
2010,القيروان الشما لية,القيروان,677500,141273
2011,الفوار,قبلي,1254459,219029
2010,الحنشة,صفاقس,289327,65903
2011,سوق الأحد,قبلي,2005433,771922
2011,القلعة الصغرى,سوسة,362200,64697
2010,بو مرداس,المهدية,527500,89855
2011,واد مليز,جندوبة,150031,25174
2012,شربان,المهدية,1621000,282190
2012,قرطاج,تــونس,51700,3567
2011,الحمامات,نابل,373759,66686
2012,حيدرة,القصرين,83614,19281
2013,جلمة,سيدي بوزيد,1822188,348653
2014,واد الليل,منــوبة,708867,84332
2015,كسرى,سليانة,846000,206574
2014,أريانة المدينة,أريانة,650600,55010
2014,صواف,زغوان,11639205,505068
2014,أجيم,مدنين,483388,59182
2015,الوردانين,المنستير,155900,9369
2015,العا لية,بنزرت,5374001,380079
2015,ميدون,مدنين,122800,18113
2011,سكرة,أريانة,39440,4126
2010,قصيبة المديوني,المنستير,90000,4520
2013,الصخيرة,صفاقس,815710,181175
2013,المدينة الجديدة,بن عروس,115000,4481
2013,راس الجبل,بنزرت,482279,44647
2013,سيدي حسين,تــونس,81096,3990
2013,دوز الشما لية,قبلي,235175,47815
2014,تمغزة,توزر,15089,3615
2013,غنوش,قابس,297788,34122
2014,جرزونة,بنزرت,2140590,445937
2014,القيروان الشما لية,القيروان,261000,35530
2014,المدينة الجديدة,بن عروس,66000,3427
2015,المنزه,تــونس,68500,8639
2016,حي الخضراء,تــونس,455000,20100
2010,أكودة,سوسة,55200,3399
2011,تيبار,باجة,73117,18164
2012,رادس,بن عروس,74000,4215
2012,سيدي الهاني,سوسة,87000,17165
2013,دوز الجنوبية,قبلي,193944,44415
2013,حزوة,توزر,68066,10901
2013,القصرين الشما لية,القصرين,492027,70709
2012,سوسة الرياض,سوسة,32500,1827
2015,قصر هلال,المنستير,33300,2233
2015,صفاقس الجنوبية,صفاقس,137754,16973
2011,دقاش,توزر,340295,51414
2011,رواد,أريانة,113065,20910
2012,المنيهلة,أريانة,126766,34749
2016,مطماطة,قابس,76629,7036
2013,المرسى,تــونس,13770,1356
2016,سيدي بوعلي,سوسة,90000,5843
2016,تينجة,بنزرت,183000,35125
2016,أجيم,مدنين,30880,4632
2012,أريانة المدينة,أريانة,44640,3487
2014,فوشانة,بن عروس,9000,1381
2011,قصور الساف,المهدية,2067000,359739
2010,طبلبة,المنستير,818500,110233
2010,الرقاب,سيدي بوزيد,10227505,1752842
2010,سليانة الجنوبية,سليانة,685500,142971
2010,منزل الحبيب,قابس,1116370,224901
2010,الصخيرة,صفاقس,1762740,427665
2010,جرجيس,مدنين,4883469,661774
2010,سيدي مخلوف,مدنين,710430,140052
2010,قابس الجنوبية,قابس,2571685,565528
2011,نبر,الكاف,3318700,396569
2010,الصمّار,تطاوين,386495,97892
2011,باجة الجنوبية,باجة,4228108,458643
2010,بلطة بوعوان,جندوبة,947589,105586
2010,الدهماني,الكاف,2109450,295413
2011,غمراسن,تطاوين,626594,149162
2010,بني خداش,مدنين,1186710,249116
2010,صفاقس المدينة,صفاقس,4535156,310640
2010,بن قردان,مدنين,885000,188435
2011,أولاد حفوز,سيدي بوزيد,3044073,614374
2010,المكنين,المنستير,2951800,173991
2015,أوتيك,بنزرت,3161913,428424
2010,سيدي بوزيد الغربية,سيدي بوزيد,1530342,264384
2011,المكنين,المنستير,3690350,192218
2011,جرجيس,مدنين,1347153,164304
2016,غارالدماء,جندوبة,797813,99491
2011,فرنانة,جندوبة,804907,76046
2010,منزل تميم,نابل,390199,39877
2010,تاكلسة,نابل,1382638,187618
2010,قبلي الشما لية,قبلي,1338801,587343
2010,منزل بوزيان,سيدي بوزيد,1015838,175013
2010,برقو,سليانة,2946600,481682
2010,سيدي ثابت,أريانة,5233665,310944
2010,البطان,منــوبة,1049748,156720
2010,فرنانة,جندوبة,538150,41473
2010,سجنان,بنزرت,530284,66824
2010,سيدي علوان,المهدية,2728500,311807
2012,الجم,المهدية,2987000,399442
2011,جدليان,القصرين,605945,124392
2010,الفوار,قبلي,905261,385165
2011,كندار,سوسة,147000,11256
2011,واد الليل,منــوبة,347220,59634
2011,المطوية,قابس,805067,200916
2012,فوسانة,القصرين,7902997,1768886
2012, الفحص,زغوان,3863514,561291
2012,فريانة,القصرين,1339246,316012
2012,المهدية,المهدية,22203000,1262858
2012,سيدي عمر بوحجلة,القيروان,2137977,348549
2012,العلا,القيروان,182000,11708
2013,البقا لطة,المنستير,5325200,265580
2012,منزل بوزلفة,نابل,686935,126314
2012,تا لة,القصرين,1011109,245541
2011,تا لة,القصرين,532444,121700
2012,طبلبة,المنستير,12178800,654597
2012,الجريصة,الكاف,560550,91051
2011,الشراردة,القيروان,519500,77136
2012,القطار,قفصة,290869,49347
2011,حاجب العيون,القيروان,1544000,298392
2012,سيدي بورويس,سليانة,1223000,258835
2013,السبيخة,القيروان,2068000,247532
2013,الحامة,قابس,18101126,2387571
